Nit;Fecha Corte;Duracion;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Ingresos financieros;Costos financieros;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
800226925;31/12/2016;2016;5012340;2835583;2176757;103110;897334;917061;24845;;440627;0;251079;189548;77305;112243;;112243
860045926;31/12/2016;2016;747697;0;747697;165320;0;694269;17962;0;200786;0;33882;166904;26549;140355;0;140355
800203320;31/12/2016;2016;19831134;;19831134;2686312;;2059089;3920940;;16537417;539686;2003492;15073611;626548;14447063;;14447063
890328430;31/12/2016;2016;2909561;1785348;1124213;47060;335403;604205;187299;;44366;;;44366;44793;-427;;-427
900276223;31/12/2016;2016;5684204;;5684204;1193;;79871;36941;;5568585;89518;16578;5641525;;5641525;;5641525
900463523;31/12/2016;2016;29380108;20455885;8924223;27040;6525014;;17062;;2409187;34878;499155;1944910;746194;1198716;0;1198716
900727751;31/12/2016;2016;0;;0;124667;;745754;195596;;-816683;1640737;1232824;-408770;477819;-886589;;-886589
890924825;31/12/2016;2016;639100;1857017;-1217917;130728;0;159904;0;0;-1247093;;65784;-1312877;12610;-1325487;0;-1325487
800007122;31/12/2016;2016;48354480;41221445;7133035;255878;5077012;425963;172546;0;1713392;13988;476096;1251284;569003;682281;;682281
800067425;31/12/2016;2016;4672905;3477614;1195291;0;1107056;431317;0;786731;443649;0;12669;430980;73112;357868;30579;388447
860530859;31/12/2016;2016;852387;;852387;538883;;853021;330025;;208224;;;208224;91949;116275;;116275
