Nit;Fecha Corte;Duracion;Ganancia (pérdida);Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación;Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos;Total otro resultado integral;Resultado integral total;Otro resultado integral, neto de impuestos, diferencias de cambio por conversión;Otro resultado integral, neto de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos;Ganancias (pérdidas) por coberturas de flujos de efectivo, neto de impuestos;Total otro resultado integral que se reclasificará al resultado del periodo, neto de impuestos
800026953;31/12/2016;2016;63864;;;;;;;;
800026959;31/12/2016;2016;11372;;-8893;-8893;2479;-8893;;;
800026989;31/12/2016;2016;648632;;;;648632;;;;
800026992;31/12/2016;2016;261097;0;0;0;261097;0;0;0;0
800027072;31/12/2016;2016;-24177;;;;;;;;
800027085;31/12/2016;2016;149653;0;0;0;149653;0;;0;0
800027293;31/12/2016;2016;177633;;;;177633;;;;
800027298;31/12/2016;2016;188158;;;;;;;;
800027498;31/12/2016;2016;-21175;0;0;0;-21175;0;0;0;0
800027557;31/12/2016;2016;326917;;;;326917;;;;
800027615;31/12/2016;2016;2812483;848057;848057;848057;3660540;;;;
800027617;31/12/2016;2016;-3280241;;;;;;;;
800027656;31/12/2016;2016;1236017;;;;;;;;
800027664;31/12/2016;2016;197716;;;0;197716;0;0;0;0
800027813;31/12/2016;2016;2645470;;;;;;;;
800027832;31/12/2016;2016;24824;;;;;;;;
800027890;31/12/2016;2016;259399;;;;259399;;;;
800027927;31/12/2016;2016;2071067;0;0;0;2071067;0;0;0;0
800027959;31/12/2016;2016;-477802;;;;;;;;
800027977;31/12/2016;2016;208946;0;0;0;208946;0;0;0;0
800028138;31/12/2016;2016;29071;65501;65501;65501;94572;;;;
800028326;31/12/2016;2016;850673;;;;850673;;;;
800028409;31/12/2016;2016;-593734;;;;;;;;
800028446;31/12/2016;2016;444698;0;0;0;444698;0;0;0;0
800028455;31/12/2016;2016;179589;;;;179589;;;;
800028532;31/12/2016;2016;-1305932;;;;;;;;
800028702;31/12/2016;2016;354902;;;;354902;;;;
800028768;31/12/2016;2016;124305;;;;;;;;
800029156;31/12/2016;2016;613595;;;;;;;;
800029286;31/12/2016;2016;844470;;;;;;;;
800029341;31/12/2016;2016;29357;0;0;0;29357;0;0;0;0
800029421;31/12/2016;2016;304212;;;;;;;;
800029462;31/12/2016;2016;341950;;;;;;;;
800029554;31/12/2016;2016;1164459;;;;;;;;
800029567;31/12/2016;2016;64880;;;;;;;;
800029591;31/12/2016;2016;102053;0;0;0;102053;0;0;0;0
800029798;31/12/2016;2016;96988;;;;;;;;
800029841;31/12/2016;2016;-2419;;;;;;;;
800029845;31/12/2016;2016;97176;;;;97176;;;;
800030089;31/12/2016;2016;480388;0;0;0;480388;0;0;0;0
800030142;31/12/2016;2016;111453;;;;;;;;
800030156;31/12/2016;2016;51274;0;0;0;51274;0;0;0;0
800030279;31/12/2016;2016;92306;;92306;;92306;;;;
800030569;31/12/2016;2016;8664220;;;;;;;;
800030594;31/12/2016;2016;-271683;0;0;0;-271683;0;0;0;0
800030632;31/12/2016;2016;30079;;;;;;;;
800030667;31/12/2016;2016;114824;170913;95065;-117162;-2338;-75848;;-212227;-212227
800030780;31/12/2016;2016;110310;;;;;;;;
800031074;31/12/2016;2016;36221;;;;;;;;
800031074;31/12/2016;2015-dic-31 / 2016-dic-31;274644;;;;;;;;
800031119;31/12/2016;2016;475466;;;;;;;;
800031148;31/12/2016;2016;105477;;;;;;;;
800031358;31/12/2016;2016;153357;0;0;0;153357;0;0;;
800031626;31/12/2016;2016;36076;;;;;;;;
800031660;31/12/2016;2016;713585;;;-7913;705672;;;-7913;-7913
800031781;31/12/2016;2016;606773;;;;;;;;
800031865;31/12/2016;2016;657105;;;;657105;;;;
800032003;31/12/2016;2016;1171906;;;;;;;;
800032069;31/12/2016;2016;81944;;;;;;;;
800032071;31/12/2016;2016;-1682276;;;;;;;;
800032189;31/12/2016;2016;151247;;;;;;;;
800032277;31/12/2016;2016;385115;;;;;;;;
800032353;31/12/2016;2016;72331;;;;;;;;
800032420;31/12/2016;2016;-52601;0;0;0;-52601;0;0;0;0
800032486;31/12/2016;2016;219186;;;;219186;;;;
800032546;31/12/2016;2016;-156783;;;;;;;;
800032662;31/12/2016;2016;1142045;;;;1142045;;;;
800032741;31/12/2016;2016;264286;0;0;0;264286;0;0;0;0
800032769;31/12/2016;2016;614851;;692234;692234;1307085;692234;;;
800032846;31/12/2016;2016;759664;;621951;621951;1381615;;621951;;
800032931;31/12/2016;2016;54340;0;0;0;54340;0;0;;
800032955;31/12/2016;2016;2134749;;;;;;;;
800033055;31/12/2016;2016;22224;;;;;;;;
800033105;31/12/2016;2016;70946;;;;70946;;;;
800033135;31/12/2016;2016;-294862;;;;;;;;
800033374;31/12/2016;2016;196730;;;;;;;;
800033694;31/12/2016;2016;255307;;;;;;;;
800033743;31/12/2016;2016;596410;;;;;;;;
800033912;31/12/2016;2016;63207;0;0;0;63207;0;0;0;0
800033981;31/12/2016;2016;287663;;;;287663;;;;
800034154;31/12/2016;2016;204826;;;;204826;;;;
800034219;31/12/2016;2016;163064;;;;;;;;
800034353;31/12/2016;2016;-597610;;;;;;;;
800034614;31/12/2016;2016;279981;;;;279981;;;;
800034646;31/12/2016;2016;-152158;;;;;;;;
800034768;31/12/2016;2016;302424;;0;0;302424;0;0;;
800034825;31/12/2016;2016;-743830;;;;-743830;;;;
800034848;31/12/2016;2016;264406;;;;;;;;
800035076;31/12/2016;2016;122935;0;0;0;122935;0;0;0;0
800035120;31/12/2016;2016;1029416;;;;;;;;
800035156;31/12/2016;2016;589183;;;;;;;;
800035478;31/12/2016;2016;121508;;;;;;;;
800035583;31/12/2016;2016;76585;;;;;;;;
800035606;31/12/2016;2016;498670;0;0;0;498670;0;0;0;0
800035660;31/12/2016;2016;277740;;;;277740;;;;
800035713;31/12/2016;2016;870018;;;;;;;;
800036116;31/12/2016;2016;-16930;;;;;;;;
800036354;31/12/2016;2016;104742;;;;104742;;;;
800036525;31/12/2016;2016;-978561;;;;;;;;
800036647;31/12/2016;2016;481751;;;;;;;;
800036675;31/12/2016;2016;110886;;;;110886;;;;
800036678;31/12/2016;2016;511369;;;;511369;;;;
800036973;31/12/2016;2016;154177;0;0;0;154177;0;0;0;0
800037011;31/12/2016;2016;121543;1292155;1292155;1292155;1413698;;;;
800037129;31/12/2016;2016;350247;;;;;;;;
800037343;31/12/2016;2016;459104;;;;;;;;
800037390;31/12/2016;2016;202419;;;;;;;;
800037835;31/12/2016;2016;2641121;0;0;0;2641121;0;0;0;0
800037978;31/12/2016;2016;-371877;;;;;;;;
800038114;31/12/2016;2016;-76202;0;0;0;-76202;0;0;0;0
800038193;31/12/2016;2016;382624;;;;;;;;
800038620;31/12/2016;2016;62154;0;0;0;62154;0;0;0;0
800038649;31/12/2016;2016;161034;;;;161034;;;;
800038703;31/12/2016;2016;4299073;;;;;;;;
800039290;31/12/2016;2016;105634;;;;;;;;
800039321;31/12/2016;2016;-36786;;;;;;;;
800039358;31/12/2016;2016;156641;;;;156641;;;;
800039398;31/12/2016;2016;210502;0;0;0;210502;0;0;0;0
800039439;31/12/2016;2016;-181165;3270089;3270089;3270089;3088924;0;0;0;0
800039529;31/12/2016;2016;-31775;;;;;;;;
800039663;31/12/2016;2016;-273089;0;0;0;-273089;0;0;0;0
800039768;31/12/2016;2016;273278;;;;;;;;
800039813;31/12/2016;2016;1554828;;;;;;;;
800039858;31/12/2016;2016;319372;0;0;0;319372;0;0;0;0
800039874;31/12/2016;2016;123986;0;0;0;123986;0;0;0;0
800040011;31/12/2016;2016;184887;;;;;;;;
800040201;31/12/2016;2016;107603;;;;;;;;
800040422;31/12/2016;2016;558925;;;;;;;;
800040452;31/12/2016;2016;9241;0;0;0;9241;0;0;0;0
800040620;31/12/2016;2016;597182;;;;;;;;
800040646;31/12/2016;2016;131784;;;;;;;;
800040736;31/12/2016;2016;503888;;;;;;;;
800040872;31/12/2016;2016;72882;;;;;;;;
800040880;31/12/2016;2016;-698234;0;0;0;-698234;0;0;0;0
800040938;31/12/2016;2016;849705;;;;;;;;
800041077;31/12/2016;2016;-128743;;;;;;;;
800041106;31/12/2016;2016;73629;0;0;0;73629;0;0;;
800041138;31/12/2016;2016;61828;;;;61828;;;;
800041221;31/12/2016;2016;84707;;;;;;;;
800041237;31/12/2016;2016;378698;;;;;;;;
800041339;31/12/2016;2016;50308;;;;50308;;;;
800041356;31/12/2016;2016;1301831;;;;;;;;
800041433;31/12/2016;2016;1456975;2301108;2301108;2301108;3758083;0;0;0;0
800041607;31/12/2016;2016;222779;;;;;;;;
800041628;31/12/2016;2016;168275;;;;;;;;
800041642;31/12/2016;2016;2527996;;0;0;2527996;0;;;
800041672;31/12/2016;2016;-307815;;;;;;;;
800041731;31/12/2016;2016;959049;;;;959049;;;;
800041829;31/12/2016;2016;24901611;;;;;;;;
800042119;31/12/2016;2016;532914;;;;;;;;
800042169;31/12/2016;2016;-737343;;;;;;;;
800042255;31/12/2016;2016;140764;2726830;2726830;2726830;2867594;;;;
800042465;31/12/2016;2016;273503;;;;;;;;
800042532;31/12/2016;2016;-236384;;;;;;;;
800042589;31/12/2016;2016;2320111;;;;;;;;
